Run	Bases	BioSample	Code	Collection_Date	Depth	Fraction	geo_loc_name_country	Latitude	Longitude	pos_km
SRR1531609	7521000	SAMN02945797	II001A	13.08.07	0.5	3	Germany	48.31073	9.86037	2600
SRR1531610	5194000	SAMN02945798	II002F	15.08.07	2	0.2	Germany	48.91502	11.8685	2412
SRR1531611	6181000	SAMN02945799	II002A	15.08.07	2	3	Germany	48.91502	11.8685	2412
SRR1531612	5311500	SAMN02945800	II003F	15.08.07	2	0.2	Germany	48.97589	12.35567	2354
SRR1531613	8393500	SAMN02945801	II003A	15.08.07	2	3	Germany	48.97589	12.35567	2354
SRR1531614	5169000	SAMN02945802	II004F	16.08.07	2	0.2	Germany	48.83379	12.93476	2287
SRR1531615	6762000	SAMN02945803	II004A	16.08.07	2	3	Germany	48.83379	12.93476	2287
SRR1531616	7810000	SAMN02945804	II005A	16.08.07	1.8	3	Germany	48.7799	13.0059	2278
SRR1531617	5722000	SAMN02945805	II007F	17.08.07	7	0.2	Germany	48.52488	13.69373	2204
SRR1531618	5217500	SAMN02945806	II008F	18.08.07	7	0.2	Austria	48.25501	14.41705	2120
SRR1531619	6483500	SAMN02945807	II089F	23.09.07	10	0.2	Romania	45.30175	27.99807	167
SRR1531620	6147500	SAMN02945808	II009A	18.08.07	10	3	Austria	48.1967	15.05291	2061
SRR1531621	5280500	SAMN02945809	II010F	18.08.07	3.5	0.2	Austria	48.38371	15.53103	2008
SRR1531622	6826500	SAMN02945810	II011F	19.08.07	10	0.2	Austria	48.35151	16.22459	1950
SRR1531623	6543000	SAMN02945811	II093A	25.09.07	0	3	Romania	45.38978	29.58738	18
SRR1531624	6943500	SAMN02945812	II095A	26.09.07	0	3	Romania	45.18282	29.18605	2
SRR1531625	4249000	SAMN02945813	II096F	26.09.07	0	0.2	Romania	45.07947	29.112	0
SRR1531626	5366500	SAMN02945814	II013F	21.08.07	3	0.2	Austria	48.11602	16.80328	1895
SRR1531627	7186500	SAMN02945815	II013A	21.08.07	3	3	Austria	48.11602	16.80328	1895
SRR1531628	5192500	SAMN02945816	II014F	21.08.07	3	0.2	Austria	48.1727	16.96162	1881
SRR1531629	6867500	SAMN02945817	II014A	21.08.07	3	3	Austria	48.1727	16.96162	1881
SRR1531630	7456500	SAMN02945818	II015A	21.08.07	3	3	Austria	48.17864	16.97597	1880
SRR1531631	6643000	SAMN02945819	II017F	23.08.07	7	0.2	Slovakia	48.03577	17.23445	1852
SRR1531632	4956000	SAMN02945820	II018F	23.08.07	2.5	0.2	Slovakia	47.78877	17.66197	1806
SRR1531633	6140000	SAMN02945821	II019A	23.08.07	3	3	Hungary	47.73496	17.77262	1794
SRR1531634	4278000	SAMN02945822	II021F	24.08.07	3	0.2	Slovakia	47.75932	18.14311	1766
SRR1531635	4619000	SAMN02945823	II021A	24.08.07	3	3	Slovakia	47.75932	18.14311	1766
SRR1531636	4489000	SAMN02945824	II022F	24.08.07	4	0.2	Slovakia	47.74213	18.21113	1761
SRR1531637	7591000	SAMN02945825	II022A	24.08.07	4	3	Slovakia	47.74213	18.21113	1761
SRR1531638	5125500	SAMN02945826	II023F	25.08.07	4	0.2	Slovakia	47.79258	18.72863	1719
SRR1531639	2541000	SAMN02945827	II039F	01.09.07	4	0.2	Hungary	45.91333	18.80843	1434
SRR1531640	1937000	SAMN02945828	II024F	25.08.07	2	0.2	Hungary	47.82157	18.73507	1716
SRR1531641	4757500	SAMN02945829	II025F	25.08.07	2	0.2	Slovakia	47.82279	18.8523	1708
SRR1531642	7364500	SAMN02945830	II025A	25.08.07	2	3	Slovakia	47.82279	18.8523	1708
SRR1531643	5537500	SAMN02945831	II026A	25.08.07	3	3	Hungary	47.81255	18.86773	1707
SRR1531644	3706000	SAMN02945832	II027F	26.08.07	3	0.2	Hungary	47.80817	18.98542	1692
SRR1531645	5537000	SAMN02945833	II027A	26.08.07	3	3	Hungary	47.80817	18.98542	1692
SRR1531646	7772000	SAMN02945834	II028F	26.08.07	3	0.2	Hungary	47.80575	18.99248	1691
SRR1531647	6084500	SAMN02945835	II028A	26.08.07	3	3	Hungary	47.80575	18.99248	1691
SRR1531648	4633000	SAMN02945836	II041F	02.09.07	8	0.2	Croatia	45.55432	18.91701	1384
SRR1531649	6530000	SAMN02945837	II029A	27.08.07	3	3	Hungary	47.5989	19.08361	1659
SRR1531650	3639000	SAMN02945838	II030F	27.08.07	2.5	0.2	Hungary	47.59343	19.07139	1658
SRR1531651	9207000	SAMN02945839	II042A	02.09.07	4	3	Croatia	45.54563	18.90664	1382
SRR1531652	5230500	SAMN02945840	II031F	29.08.07	3	0.2	Hungary	47.46137	19.07127	1642
SRR1531653	4471000	SAMN02945841	II031A	29.08.07	3	3	Hungary	47.46137	19.07127	1642
SRR1531654	5569000	SAMN02945842	II032F	29.08.07	3.5	0.2	Hungary	47.38863	19.01025	1632
SRR1531655	2917500	SAMN02945843	II032A	29.08.07	3.5	3	Hungary	47.38863	19.01025	1632
SRR1531656	4026500	SAMN02945844	II033F	29.08.07	4	0.2	Hungary	47.11526	18.88356	1598
SRR1531657	6475500	SAMN02945845	II033A	29.08.07	4	3	Hungary	47.11526	18.88356	1598
SRR1531658	5405000	SAMN02945846	II034F	30.08.07	3	0.2	Hungary	47.03629	18.97636	1588
SRR1531659	5132500	SAMN02945847	II034A	30.08.07	3	3	Hungary	47.03629	18.97636	1588
SRR1531660	5344000	SAMN02945848	II035F	30.08.07	3	0.2	Hungary	46.80475	18.94693	1560
SRR1531661	7527500	SAMN02945849	II035A	30.08.07	3	3	Hungary	46.80475	18.94693	1560
SRR1531662	8353000	SAMN02945850	II036F	30.08.07	4	0.2	Hungary	46.63439	18.88171	1533
SRR1531663	7172500	SAMN02945851	II043A	03.09.07	4	3	Croatia	45.5303	19.07492	1367
SRR1531664	6615500	SAMN02945852	II037F	31.08.07	3	0.2	Hungary	46.34087	18.88387	1497
SRR1531665	8674000	SAMN02945853	II037A	31.08.07	3	3	Hungary	46.34087	18.88387	1497
