GeneID,EC,HMMER,dbCAN_sub,DIAMOND,Signalp,NofTools
OJEIIDGO_00076,None,GH2(51-929),None,None,Y(1-22),1
OJEIIDGO_00091,None,GH20(151-512),None,None,Y(1-20),1
OJEIIDGO_00128,None,GH57(38-327),None,None,N,1
OJEIIDGO_00143,None,CE1(19-254),None,None,N,1
OJEIIDGO_00151,None,GT35(270-635),None,None,N,1
OJEIIDGO_00156,None,GT41(135-688),None,None,N,1
OJEIIDGO_00164,None,CE1(30-279),None,None,N,1
OJEIIDGO_00288,None,GT83(81-370),None,None,N,1
OJEIIDGO_00300,None,CE20(100-275)+CE20(404-530),None,None,N,1
OJEIIDGO_00303,None,GH16_3(35-227),None,None,N,1
OJEIIDGO_00310,None,GH23(76-208),None,None,Y(1-22),1
OJEIIDGO_00341,None,GH73(158-287),None,None,N,1
OJEIIDGO_00345,None,GH177(38-426),None,None,Y(1-35),1
OJEIIDGO_00393,None,GH109(48-198),None,None,Y(1-30),1
OJEIIDGO_00403,None,GT117(15-234),None,None,N,1
OJEIIDGO_00418,None,AA3(8-564),None,None,N,1
OJEIIDGO_00421,None,GT51(39-219),None,None,N,1
OJEIIDGO_00582,None,AA3(3-568),None,None,N,1
OJEIIDGO_00608,None,GT2(3-113),None,None,N,1
OJEIIDGO_00632,None,GH25(32-203),None,None,Y(1-17),1
OJEIIDGO_00633,None,CE7(21-301),None,None,N,1
OJEIIDGO_00690,None,GH109(41-201),None,None,N,1
OJEIIDGO_00711,None,GT4(162-301),None,None,N,1
OJEIIDGO_00726,None,GT2(7-137),None,None,N,1
OJEIIDGO_00790,None,GH177(39-417),None,None,N,1
OJEIIDGO_00879,None,GH73(136-324),None,None,N,1
OJEIIDGO_00903,None,GH31_1(1-431),None,None,N,1
OJEIIDGO_00905,None,GH133(51-405),None,None,N,1
OJEIIDGO_00933,None,GH23(80-213),None,None,N,1
OJEIIDGO_00967,None,GT4(185-327),None,None,N,1
OJEIIDGO_01003,None,GH10(530-827),None,None,Y(1-25),1
OJEIIDGO_01012,None,GH13_16(35-388),None,None,N,1
OJEIIDGO_01015,None,GT2(5-108),None,None,N,1
OJEIIDGO_01016,None,GT2(45-271),None,None,N,1
OJEIIDGO_01038,None,GT4(220-364),None,None,N,1
OJEIIDGO_01075,None,GH51_1(25-513),None,None,Y(1-30),1
OJEIIDGO_01100,None,CE1(486-698),None,None,Y(1-21),1
OJEIIDGO_01133,None,GH2(321-692),None,None,N,1
OJEIIDGO_01214,None,GH9(443-830),None,None,Y(1-23),1
OJEIIDGO_01247,None,GT83(3-459),None,None,N,1
OJEIIDGO_01282,None,GT2(5-134),None,None,N,1
OJEIIDGO_01283,None,GT2(7-175),None,None,N,1
OJEIIDGO_01317,None,CBM13(1045-1182),None,None,N,1
OJEIIDGO_01321,None,GH16_3(163-394),None,None,Y(1-25),1
OJEIIDGO_01341,None,GT2(46-189),None,None,N,1
OJEIIDGO_01344,None,GT4(195-336),None,None,N,1
OJEIIDGO_01345,None,GT4(195-350),None,None,N,1
OJEIIDGO_01347,None,GT4(199-345),None,None,N,1
OJEIIDGO_01350,None,GH188(391-622),None,None,N,1
OJEIIDGO_01409,None,GT2(5-133),None,None,N,1
OJEIIDGO_01411,None,CE14(44-155),None,None,Y(1-24),1
OJEIIDGO_01446,None,CBM48(27-107)+GH13_9(166-463),None,None,N,1
OJEIIDGO_01484,None,GH179(12-247),None,None,N,1
OJEIIDGO_01520,None,CE14(6-111),None,None,N,1
OJEIIDGO_01524,None,GT4(194-342),None,None,N,1
OJEIIDGO_01526,None,GT2(73-301),None,None,N,1
OJEIIDGO_01529,None,GT2(6-165),None,None,N,1
OJEIIDGO_01533,None,GT30(45-208),None,None,N,1
OJEIIDGO_01552,None,GT2(2-82),None,None,N,1
OJEIIDGO_01586,None,CBM9(41-212),None,None,N,1
OJEIIDGO_01612,None,GT20(2-460),None,None,N,1
OJEIIDGO_01621,None,PL9_2(325-677),None,None,Y(1-25),1
OJEIIDGO_01631,None,CBM48(29-114)+GH13_9(184-483),None,None,N,1
OJEIIDGO_01720,None,GH144(34-450),None,None,Y(1-20),1
OJEIIDGO_01721,None,CBM102(60-174)+CBM102(214-332)+CBM102(366-483)+CBM102(521-644)+CBM102(682-814),None,None,Y(1-24),1
OJEIIDGO_01722,None,GH144(119-520),None,None,Y(1-22),1
OJEIIDGO_01759,None,GT83(4-374),None,None,N,1
OJEIIDGO_01784,None,GH140(19-442),None,None,Y(1-19),1
OJEIIDGO_01808,None,GH171(55-398),None,None,Y(1-32),1
OJEIIDGO_01877,None,GT2(6-116),None,None,N,1
OJEIIDGO_01891,None,GH88(50-438),None,None,N,1
OJEIIDGO_01907,None,GT9(65-311),None,None,N,1
OJEIIDGO_01916,None,GT5(5-224),None,None,N,1
OJEIIDGO_01949,None,GT4(193-345),None,None,N,1
OJEIIDGO_02005,None,GT2(329-477),None,None,N,1
OJEIIDGO_02016,None,GH74(112-202),None,None,Y(1-23),1
OJEIIDGO_02023,None,GH179(26-250),None,None,N,1
OJEIIDGO_02026,None,GH177(24-384),None,None,N,1
OJEIIDGO_02045,None,GH18(21-280),None,None,N,1
OJEIIDGO_02059,None,GT51(90-270),None,None,N,1
OJEIIDGO_02071,None,GH3(108-332),None,None,N,1
OJEIIDGO_02073,None,GT55(39-418),None,None,N,1
OJEIIDGO_02078,None,GH73(34-168),None,None,N,1
OJEIIDGO_02099,None,GH179(58-232),None,None,Y(1-32),1
OJEIIDGO_02104,None,GH109(3-191),None,None,N,1
OJEIIDGO_02141,None,GT10(68-264),None,None,N,1
OJEIIDGO_02142,None,GT8(3-241),None,None,N,1
OJEIIDGO_02146,None,GT4(223-366),None,None,N,1
OJEIIDGO_02147,None,GT2(7-132),None,None,N,1
OJEIIDGO_02148,None,GT2(4-163),None,None,N,1
OJEIIDGO_02150,None,GH43_1(17-328),None,None,N,1
OJEIIDGO_02206,None,CE9(4-255),None,None,N,1
OJEIIDGO_02230,None,CE1(49-268)+CE1(409-635),None,None,Y(1-20),1
OJEIIDGO_02231,None,GH43_12(57-351)+CBM91(387-573),None,None,N,1
OJEIIDGO_02246,None,GH188(10-204),None,None,N,1
OJEIIDGO_02276,None,PL33(426-582),None,None,Y(1-22),1
OJEIIDGO_02278,None,PL35(401-574),None,None,Y(1-26),1
OJEIIDGO_02307,None,GH188(2-192),None,None,N,1
OJEIIDGO_02319,None,GT2(6-172),None,None,N,1
OJEIIDGO_02326,None,GT4(190-338),None,None,N,1
OJEIIDGO_02336,None,GT2(16-177),None,None,N,1
OJEIIDGO_02382,None,GT2(49-160),None,None,N,1
OJEIIDGO_02415,None,GT4(203-346),None,None,N,1
OJEIIDGO_02445,None,GH179(19-342),None,None,N,1
OJEIIDGO_02450,None,GT2(4-148),None,None,N,1
OJEIIDGO_02458,None,GT4(192-342),None,None,N,1
OJEIIDGO_02469,None,GH113(36-340),None,None,Y(1-23),1
OJEIIDGO_02492,None,GT2(52-274),None,None,N,1
OJEIIDGO_02512,None,PL12(65-203),None,None,N,1
OJEIIDGO_02519,None,CE15(77-445),None,None,Y(1-21),1
OJEIIDGO_02581,None,GT51(70-247),None,None,N,1
OJEIIDGO_02606,None,GT119(20-203)+GT119(266-469),None,None,N,1
OJEIIDGO_02704,None,GH109(7-164),None,None,N,1
OJEIIDGO_02725,None,GH103(41-335),None,None,Y(1-31),1
OJEIIDGO_02748,None,GT4(158-302),None,None,N,1
OJEIIDGO_02758,None,GT28(192-351),None,None,N,1
OJEIIDGO_02759,None,GT119(32-381),None,None,N,1
OJEIIDGO_02858,None,CBM91(2-167),None,None,N,1
OJEIIDGO_02880,None,GT2(4-149),None,None,N,1
OJEIIDGO_02920,None,GH13_19(77-423),None,None,Y(1-25),1
OJEIIDGO_02940,None,GT1(203-432),None,None,N,1
OJEIIDGO_02953,None,GH73(150-279),None,None,N,1
OJEIIDGO_02972,None,CE7(131-405),None,None,N,1
OJEIIDGO_02985,None,CBM48(23-120)+GH13_11(187-536),None,None,N,1
OJEIIDGO_03073,None,GT2(3-150),None,None,N,1
OJEIIDGO_03111,None,CBM98(232-329)+GH13_47(635-956),None,None,Y(1-29),1
OJEIIDGO_03180,None,GT51(70-223),None,None,N,1
OJEIIDGO_03210,None,GT2(4-166),None,None,N,1
OJEIIDGO_03211,None,GT4(200-347),None,None,N,1
OJEIIDGO_03246,None,GT32(20-96),None,None,N,1
OJEIIDGO_03249,None,GH73(135-265),None,None,N,1
OJEIIDGO_03255,None,CE20(136-372),None,None,Y(1-28),1
OJEIIDGO_03260,None,GT4(209-361),None,None,N,1
OJEIIDGO_03273,None,CE4(22-133),None,None,N,1
OJEIIDGO_03279,None,GH109(37-445),None,None,N,1
OJEIIDGO_03291,None,GT2(39-200),None,None,N,1
OJEIIDGO_03348,None,CE11(3-223),None,None,N,1
OJEIIDGO_03363,None,CBM9(433-589),None,None,Y(1-22),1
OJEIIDGO_03408,None,CBM102(1-76)+GH16_3(262-495)+CBM102(613-749),None,None,N,1
OJEIIDGO_03415,None,GT2(8-181),None,None,N,1
OJEIIDGO_03454,None,GH188(4-151),None,None,N,1
OJEIIDGO_03463,None,GT2(102-226),None,None,N,1
OJEIIDGO_03520,None,GH109(42-190),None,None,Y(1-23),1
OJEIIDGO_03550,None,GH13_48(58-342),None,None,Y(1-27),1
OJEIIDGO_03577,None,CE13(57-237),None,None,N,1
OJEIIDGO_03642,None,GH19_1(110-196),None,None,Y(1-23),1
OJEIIDGO_03696,None,GH73(118-246),None,None,N,1
OJEIIDGO_03780,None,GH177(38-379),None,None,N,1
OJEIIDGO_03785,None,GH179(92-259),None,None,Y(1-30),1
OJEIIDGO_03790,None,GH43_28(19-289)+CBM32(332-445),None,None,N,1
OJEIIDGO_03830,None,GH102(195-303),None,None,N,1
OJEIIDGO_03853,None,GT2(14-137),None,None,N,1
OJEIIDGO_03854,None,GT2(6-124),None,None,N,1
OJEIIDGO_03855,None,GT4(215-363),None,None,N,1
OJEIIDGO_03889,None,GH13_3(219-437),None,None,N,1
OJEIIDGO_03930,None,GT2(4-189),None,None,N,1
OJEIIDGO_03951,None,GT2(9-168),None,None,N,1
OJEIIDGO_03962,None,CE1(34-237),None,None,Y(1-19),1
