"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","MEGAHIT-MetaBAT2-ERR2143759.7","MEGAHIT-MetaBAT2-ERR2143760.4","SPAdes-MetaBAT2-ERR2143759.4","SPAdes-MetaBAT2-ERR2143760.5"
"group_101","","hypothetical protein","4","4","1","78","18","","","","329","1718","1281","KKNACEHJ_00385","OJEIIDGO_00396","EDDCBIGE_02515","KOKFBEGO_01016"
"group_102","","hypothetical protein","4","4","1","19","24","","","","674","965","819","KKNACEHJ_00524","OJEIIDGO_00053","EDDCBIGE_00501","KOKFBEGO_03406"
"group_104","","Putative low molecular weight protein-tyrosine-phosphatase","4","4","1","11","49","","","","200","440","340","KKNACEHJ_00629","OJEIIDGO_02028","EDDCBIGE_00172","KOKFBEGO_03697"
"group_107","","hypothetical protein","4","4","1","20","14","","","","242","1877","1307","KKNACEHJ_00689","OJEIIDGO_02278","EDDCBIGE_01731","KOKFBEGO_03214"
"group_108","","hypothetical protein","4","4","1","19","5","","","","797","1334","1199","KKNACEHJ_00693","OJEIIDGO_00098","EDDCBIGE_01529","KOKFBEGO_00704"
"group_11","","hypothetical protein","4","4","1","101","4","","","","800","1076","938","KKNACEHJ_00269","OJEIIDGO_00178","EDDCBIGE_01591","KOKFBEGO_01493"
"group_110","pal_5","hypothetical protein","4","4","1","85","13","","","","506","2567","1574","KKNACEHJ_00709","OJEIIDGO_00278","EDDCBIGE_03730","KOKFBEGO_01112"
"recQ_2","","ATP-dependent DNA helicase RecQ","4","4","1","216","2","","","","455","2201","1550","KKNACEHJ_00889","OJEIIDGO_03292","EDDCBIGE_02135","KOKFBEGO_03554"
"group_112","","hypothetical protein","4","4","1","4","32","","","","830","1586","1397","KKNACEHJ_00979","OJEIIDGO_02317","EDDCBIGE_00091","KOKFBEGO_00021"
"group_114","","hypothetical protein","4","4","1","23","21","","","","287","1739","1217","KKNACEHJ_01014","OJEIIDGO_01010","EDDCBIGE_01522","KOKFBEGO_03231"
"group_115","","hypothetical protein","4","4","1","11","4","","","Hypothetical protein with no hits to refseq/uniprot/clusters/cdd/tigrfams/pfam overlapping another protein with hits","533","1130","968","KKNACEHJ_01033","OJEIIDGO_00188","EDDCBIGE_02754","KOKFBEGO_02694"
"iorB_2","","Isoquinoline 1-oxidoreductase subunit beta","4","4","1","120","9","","","","731","2309","1914","KKNACEHJ_01066","OJEIIDGO_03585","EDDCBIGE_02172","KOKFBEGO_02097"
"group_118","","hypothetical protein","4","4","1","21","1","","","","554","3779","1914","KKNACEHJ_01091","OJEIIDGO_03634","EDDCBIGE_01758","KOKFBEGO_01669"
"group_120","","hypothetical protein","4","4","1","67","1","","","","893","1010","965","KKNACEHJ_01165","OJEIIDGO_02831","EDDCBIGE_01482","KOKFBEGO_03461"
"group_121","","Putative 3-methyladenine DNA glycosylase","4","4","1","207","5","","","","404","701","577","KKNACEHJ_01242","OJEIIDGO_02967","EDDCBIGE_02289","KOKFBEGO_02203"
"group_125","","hypothetical protein","4","4","1","111","11","","","","1319","3143","2601","KKNACEHJ_01332","OJEIIDGO_03829","EDDCBIGE_00620","KOKFBEGO_02621"
"group_126","","Tryptophan decarboxylase","4","4","1","111","8","","","","1280","1475","1426","KKNACEHJ_01335","OJEIIDGO_00660","EDDCBIGE_00617","KOKFBEGO_02275"
"group_128","","hypothetical protein","4","4","1","13","32","","","","1322","1667","1523","KKNACEHJ_01356","OJEIIDGO_00021","EDDCBIGE_00041","KOKFBEGO_03565"
"hsdR","","Type-1 restriction enzyme R protein","4","4","1","30","11","","","","1001","2945","2114","KKNACEHJ_01490","OJEIIDGO_01599","EDDCBIGE_00535","KOKFBEGO_01456"
"cysE","","Serine acetyltransferase","4","4","1","5","39","","","","392","848","647","KKNACEHJ_01672","OJEIIDGO_00712","EDDCBIGE_02870","KOKFBEGO_01011"
"ada","","Methylated-DNA--protein-cysteine methyltransferase","4","4","1","25","9","","","","428","848","645","KKNACEHJ_01749","OJEIIDGO_00991","EDDCBIGE_01940","KOKFBEGO_02330"
"rcsC_1","","Sensor histidine kinase RcsC","4","4","1","134","2","","","","1163","4100","2657","KKNACEHJ_01778","OJEIIDGO_01988","EDDCBIGE_00596","KOKFBEGO_02028"
"group_136","btuD_5","hypothetical protein","4","4","1","98","10","","","","983","1187","1034","KKNACEHJ_01875","OJEIIDGO_03854","EDDCBIGE_02529","KOKFBEGO_01511"
"group_138","iolG_6","hypothetical protein","4","4","1","55","14","","","","839","1391","1129","KKNACEHJ_01895","OJEIIDGO_00393","EDDCBIGE_03389","KOKFBEGO_01606"
